,sents,chapter,entities,chunks,label
0,Chapter 1,1.0,[],[Chapter],0
1,"On the distinction between the first motion and the second or proper motions; and in the proper motions, between the first and the second inequality.",1.0,[],"[the distinction, the first motion, the second or proper motions, the proper motions, the second inequality]",0
2,The testimony of the ages confirms that the motions of the planets are orbicular.,1.0,[],"[The testimony, the ages, the motions, the planets]",0
3,"Reason, having borrowed from experience, immediately presumes this: that their gyrations are perfect circles.",1.0,[],"[Reason, experience, their gyrations, perfect circles]",0
4,"For among figures it is circles, and among bodies the heavens, that are considered the most perfect.",1.0,[],"[figures, it, circles, bodies]",0
5,"However, when experience seems to teach something different to those who pay careful attention, namely, that the planets deviate from a simple circular path, it gives rise to a powerful sense of wonder, which at length drives people to look into causes.",1.0,"[('rise', 'ASTR')]","[experience, something, who, careful attention, the planets, a simple circular path, it, rise, a powerful sense, wonder, length, people, causes]",0
6,It is just this from which astronomy arose among humans.,1.0,[],"[It, astronomy, humans]",0
7,"Astronomy's aim is considered to be to show why the stars' motions appear to be irregular on earth, despite their being exceedingly well ordered in heaven, and to investigate the specific circles whereby the stars may be moved, so that by their aid the positions and appearances of those stars at any given time may be predicted.",1.0,[],"[Astronomy's aim, the stars' motions, earth, heaven, the specific circles, the stars, their aid, the positions, appearances, those stars, any given time]",0
8,"Before the distinction between the first motion(1) and the second motions(2) was established, people noted (in contemplating the sun, moon and stars) that their diurnal paths were visually very nearly equivalent to circles.",1.0,"[('diurnal', 'ASTR')]","[the distinction, the first motion(1, the second motions(2, people, the sun, moon, stars, their diurnal paths, circles]",0
9,"These were, however, entwined one upon another like yarn on a ball, and the circles were for the most part smaller(3) circles of the sphere, rarely the greatest(4) (such",1.0,[],"[yarn, a ball, the circles, the most part, circles, the sphere, rarely the greatest(4]",0
10,"as here ABCE, FMNG cutting the equator AB in CN), part of them north and part south.",1.0,"[('north', 'ASTR'), ('south', 'ASTR')]","[ABCE, FMNG, the equator AB, CN, part, them]",0
11,They also saw that the stars have different speeds in this diurnal and apparent motion.,1.0,"[('diurnal', 'ASTR'), ('apparent motion', 'ASTR')]","[They, the stars, different speeds, this diurnal and apparent motion]",0
12,"The fixed stars are fastest of all, since those that are in conjunction with any of the planets on the preceding day (such as H with A and F) come to their setting first (such as H, moving along LK back to I).",1.0,"[('conjunction', 'ASTR')]","[The fixed stars, conjunction, the planets, the preceding day, H, A, F, H, LK, I]",0
13,"The sun (on ABE) is slower, as on the following day it stands at E and so its setting follows that of the fixed stars at I with which on the previous day it was conjoined on HA.",1.0,[],"[The sun, ABE, the following day, it, E, its setting, the fixed stars, I, the previous day, it, HA]",0
14,"Slower still than this, slowest of all the stars, is the moon, since after setting with the sun today (at A, the moon being at F), it lags by an appreciable interval (EG) tomorrow when the sun sets (at E, the whole heaven and the moon along with it having made a circuit around the earth along FMNOG).",1.0,"[('interval', 'ASTR'), ('circuit', 'ASTR')]","[all the stars, the moon, the sun, A, the moon, F, it, an appreciable interval, (EG, E, the whole heaven, the moon, it, a circuit, the earth, FMNOG]",0
15,"Hence the Pythagoreans, when they shared out musical tones among the stars, gave the lowest (the hypate among the strings of the lyre)1 to the moon, because the motions of both were slowest.",1.0,"[('Pythagoreans', 'NAME')]","[the Pythagoreans, they, musical tones, the stars, the hypate, the strings, the lyre)1, the moon, the motions]",0
16,Hence have originated the words προηγούμενος and ὑπολειπτικός ^2.,1.0,[],[the words],0
17,"The former of these terms originally corresponded to a star which, on the next day, comes to its setting earlier (the sun E is said to be προηγούμενος with respect to the moon G).",1.0,"[('star', 'ASTR')]","[these terms, a star, the next day, its setting, the sun E, respect, the moon, G]",0
18,"The latter term corresponded to a star that is slower in the first motion (such as the moon here), which is, as it were, abandoned and left behind (at G) by the swifter ones (E and I).",1.0,"[('star', 'ASTR')]","[The latter term, a star, the first motion, the moon, it, G, the swifter ones, E, I]",0
19,"For more on this subject see our Optics, Ch.",1.0,[],"[this subject, our Optics, Ch]",0
20,10.,1.0,[],[],0
21,3,1.0,[],[],0
22,"This first adumbration of astronomy consists, not of the unfolding of a cause, but solely of the experience of the eyes, extremely slowly acquired.",1.0,[],"[This first adumbration, astronomy, the unfolding, a cause, the experience, the eyes]",0
23,"It cannot be explained in figures or numbers, nor can it be extrapolated into the future, since it is always different from itself, to the extent that no spiral is equal to any other in increments of time, and none carries over into the next with a curvature of the same quantity.",1.0,[],"[It, figures, numbers, it, the future, it, itself, the extent, no spiral, increments, time, none, a curvature, the same quantity]",0
24,"Nevertheless, there are some people today who, riding roughshod over two thousand years' work, care, erudition, and knowledge, are trying to revive this, obtruding admiration of themselves far and wide (an attempt which has not been fruitless among the ignorant).",1.0,[],"[some people, who, two thousand years' work, care, erudition, knowledge, admiration, themselves, an attempt]",0
25,"Those with more experience consider them with good reason to be incompetent, or (if, like that man Patricius,4 they want to be known as philosophers) to act mad with reasoning.",1.0,"[('Patricius,4', 'NAME')]","[more experience, them, good reason, that man, they, philosophers, reasoning]",0
26,"For it was helpful to astronomers to understand that two simple motions, the first one and the second ones, the common and the proper, are intermingled, and that from this mingling that continuous sequence of conglomerated motions follows.",1.0,[],"[it, astronomers, two simple motions, the second ones, this mingling, continuous sequence, conglomerated motions]",0
27,"And so, when that common and extrinsically derived diurnal revolving effect is removed, the fixed stars are suddenly no longer the swiftest and the moon slowest, but quite the opposite, the latter being the swiftest in itself and in its proper motion FG while the former are clearly very slow or immobile.",1.0,"[('diurnal', 'ASTR')]","[that common and extrinsically derived diurnal revolving effect, the fixed stars, the moon, quite the opposite, itself, its proper motion FG]",0
28,"When a planet (such as the moon at G) is ""left behind"" (by the sun at E or the fixed stars at I), it is carried in consequence*  through FG more swiftly than the sun (through AE) or the fixed stars (through HI).",1.0,[],"[a planet, the moon, G, the sun, E, the fixed stars, I, it, consequence, FG, the sun, AE, the fixed stars, HI]",0
29,"It, however, it appears to be 'leading' among the fixed stars, it goes along with a retrograde motion.",1.0,"[('retrograde', 'ASTR')]","[It, it, the fixed stars, it, a retrograde motion]",0
30,"For example, if the sun at A along with a fixed star at H had been released from the same starting line AH on the previous day, so as to traverse BCDE and arrive at P while the fixed star traversed HLK and arrived at I, the sun, in the space of one day, would have retrogressed through the interval AP.",1.0,"[('fixed star', 'ASTR'), ('fixed star', 'ASTR'), ('interval', 'ASTR')]","[example, the sun, A, a fixed star, H, the same starting line AH, the previous day, BCDE, P, the fixed star, HLK, I, the sun, the space, one day, the interval AP]",0
31,This turned out to be of great profit in astronomy in grasping the simplicity  of the motions.,1.0,[],"[great profit, astronomy, the simplicity, the motions]",0
32,"Instead of unending spirals, a new one always being added to the end of the earlier one at E or G, there remained little but the solitary circles FG and AE, and a single common motion, either of all the planets and the whole world as well in a direction opposite to the proper motions, or (with the world standing still, according to Aristarchus) of the earth's globe T around the axis QR in the same direction as the proper motions.",1.0,"[('Aristarchus', 'NAME'), ('axis', 'ASTR')]","[spirals, a new one, the end, E, G, the solitary circles, FG, AE, a single common motion, all the planets, the whole world, a direction, the proper motions, the world, Aristarchus, the earth's globe T, the axis QR, the same direction, the proper motions]",0
33,"Now that the first and diurnal motion had thus been set aside, and only those motions that are apprehended by comparison over a period of days, and that belong to the planets individually, were considered, there appeared in these motions a much more complicated mingling than before, when the diurnal and common motion was still mixed in with them.",1.0,"[('diurnal', 'ASTR'), ('diurnal', 'ASTR')]","[the first and diurnal motion, only those motions, comparison, a period, days, the planets, these motions, the diurnal and common motion, them]",0
34,"For although this residual mingling was there before, it was less observed—less striking to the eyes—because the diurnal motion was very swift.",1.0,"[('observed', 'ASTR'), ('diurnal', 'ASTR')]","[this residual mingling, it, the eyes, the diurnal motion]",0
35,And so this residual motion was divided into minute parts and spread out over several days and several diurnal spirals.,1.0,"[('diurnal', 'ASTR')]","[this residual motion, minute parts, several days, several diurnal spirals]",0
36,"But now, that minute division and distribution of the star's proper motions over so many days was removed (that is, by the removal of the diurnal motion), and so all the proper motions of the stars, as many as they are, and all the confusion of this multitude shone forth more obviously.",1.0,"[('star', 'ASTR'), ('diurnal', 'ASTR')]","[that minute division, distribution, the star's proper motions, so many days, the removal, the diurnal motion, so all the proper motions, the stars, they, all the confusion, this multitude]",0
37,"First, it was apparent that the three superior planets, Saturn, Jupiter, and Mars, attune their motions to their proximity to the sun.",1.0,"[('Saturn', 'PLAN'), ('Jupiter', 'PLAN'), ('Mars', 'PLAN')]","[it, the three superior planets, Saturn, Jupiter, Mars, their motions, their proximity, the sun]",0
38,"For if the sun would approach them they moved forward and were swifter than usual; where the sun would come to the signs opposite the planets they retraced with crablike steps the road they had just covered; between these two times they became stationary; and these things always used to occur, no matter what the signs of the zodiac in which the planets might have been seen.",1.0,[],"[the sun, them, they, the sun, the signs, the planets, they, crablike steps, the road, they, these two times, they, these things, what, the zodiac, the planets]",0
39,"At the same time, it was clear to the eye that the planets appeared large when retrograde, and small when anticipating the coming of the sun with a direct and swift motion.",1.0,"[('retrograde', 'ASTR')]","[the same time, it, the eye, the planets, the coming, the sun, a direct and swift motion]",0
40,"From this, the conclusion was easily reached that when the sun approaches they are raised up and recede from the lands, and when the sun departs towards the opposite signs they descend again towards the lands ^5.",1.0,[],"[the conclusion, the sun, they, the lands, the sun, the opposite signs, they, the lands]",0
41,"And finally, it was observed that these phenomena of retrogressions and increase of luminosity, just described, was moved through the signs of the zodiac in the order that tended from west through the meridian eastward, so that whatever has happened at one time in Pisces soon would come to pass similarly in Aries, then in Taurus, and so on in consequence.",1.0,"[('observed', 'ASTR'), ('west', 'ASTR'), ('meridian', 'ASTR'), ('eastward', 'ASTR')]","[it, these phenomena, retrogressions, increase, luminosity, the signs, the zodiac, the order, west, one time, Pisces, Aries, Taurus, consequence]",0
42,"If one were to bundle all this together, and were at the same time to believe that the sun really moves through the zodiac in the space of a year, as Ptolemy and Tycho Brahe believed, he would then have to grant that the circuits of the three superior planets through the aethereal space, composed as they are of several motions, are real spirals, not (as before) in the manner of balled up yarn, with spirals set side by side, but more like the shape of a pretzel,6 as in the following diagram.",1.0,"[('Tycho Brahe', 'NAME'), ('diagram', 'ASTR')]","[one, the same time, the sun, the zodiac, the space, a year, Ptolemy, Tycho Brahe, he, the circuits, the three superior planets, the aethereal space, they, several motions, real spirals, the manner, yarn, spirals, side, the shape, a pretzel,6, the following diagram]",0
43,"This is the accurate depiction of the motions of the star Mars, which it traversed through the aethereal air from the year 1580 until the year 1596, on the assumption that the earth stands still, as Ptolemy and Brahe would have it.",1.0,"[('star', 'ASTR'), ('Mars', 'PLAN')]","[the accurate depiction, the motions, the star Mars, it, the aethereal air, the year, the year, the assumption, the earth, Ptolemy, Brahe, it]",0
44,"These motions, continued farther, would become unintelligibly intricate, for the continuation is boundless, never returning to its previous path.",1.0,[],"[These motions, the continuation, its previous path]",0
45,"Take note, too, that since the orb of Mars requires such a vast space, the spheres of the sun, Venus, Mercury, the moon, fire, air, water, and earth, have to be included in the tiny little circle around the earth A, and in its little area B. In addition, the greatest part even of this little space is given to Venus alone, much greater in proportion than is given to Mars here out of the whole area of the diagram.",1.0,"[('orb', 'ASTR'), ('Mars', 'PLAN'), ('Venus', 'PLAN'), ('Mercury', 'PLAN'), ('Venus', 'PLAN'), ('Mars', 'PLAN'), ('diagram', 'ASTR')]","[note, the orb, Mars, such a vast space, the spheres, the sun, Venus, Mercury, the moon, fire, air, water, earth, the tiny little circle, the earth A, its little area, addition, the greatest part, this little space, Venus, proportion, Mars, the whole area, the diagram]",0
46,"Moreover, we are forced to ascribe similar spirals to the remaining four planets, and much more complicated ones to Venus, if the earth stands still.",1.0,"[('Venus', 'PLAN')]","[we, similar spirals, the remaining four planets, much more complicated ones, Venus, the earth]",0
47,"Ptolemy and Brahe offer explanations of the causes, order, permanence, and regularity of these spirals, the former using individual epicycles carried around on the eccentrics of the individual planets, in imitation of the sun's motion, and the latter by having all the eccentrics carried around upon the single orb of the sun.",1.0,"[('orb', 'ASTR')]","[Ptolemy, Brahe, explanations, the causes, order, permanence, regularity, these spirals, individual epicycles, the eccentrics, the individual planets, imitation, the sun's motion, all the eccentrics, the single orb, the sun]",0
48,"Nevertheless, both leave the spirals themselves in the heavens.",1.0,[],"[the spirals, themselves, the heavens]",0
49,"Copernicus, by attributing a single annual motion to the earth, entirely rids all the planets of these extremely intricate spirals, leading the individual planets into their respective orbits7 quite bare and very nearly circular.",1.0,"[('Copernicus', 'NAME')]","[Copernicus, a single annual motion, the earth, all the planets, these extremely intricate spirals, the individual planets, their respective orbits7]",0
50,"In the period of time shown in the diagram, Mars traverses one and the same orbit as many times as the 'garlands' you see looped towards the center, with one extra, making, say, nine times, while at the same time the earth repeats its circle sixteen times.",1.0,"[('diagram', 'ASTR'), ('Mars', 'PLAN'), ('orbit', 'ASTR')]","[the period, time, the diagram, Mars, the same orbit, the 'garlands, you, the center, the same time, the earth, its circle]",0
